danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,title
0.798,0.952,6,-8.174,1,0.0842,0.000428,0.911,0.066,0.558,126.008,371519,4,techhouse,Tech House Movement
0.74,0.952,6,-7.319,1,0.0489,0.032,0.743,0.0484,0.784,125.017,368654,4,techhouse,Tech House
0.797,0.844,1,-7.739,1,0.0484,2.93E-05,0.811,0.0528,0.651,131.01,366618,4,techhouse,Tech House Rotation 2020
0.636,0.984,10,-5.572,0,0.0477,0.000471,0.134,0.371,0.0967,124.012,168194,4,techhouse,Dirtybird//Techhouse by Mack\
0.85,0.913,5,-5.717,0,0.0501,0.00826,0.142,0.106,0.793,124.992,165117,4,techhouse,BOILER ROOM TECHNO HOUSE
0.843,0.784,7,-10.431,1,0.097,0.0484,0.438,0.645,0.632,124.068,345492,4,techhouse,Tech House 2020
0.842,0.903,8,-5.265,1,0.0429,1.95E-05,0.851,0.109,0.946,126.003,203810,4,techhouse,Tech House Elrow Secrets
0.773,0.537,10,-11.055,0,0.0505,0.0248,0.867,0.0996,0.217,121.001,381466,4,techhouse,Tech House 2020
0.722,0.856,1,-6.392,0,0.0338,0.0305,0.0597,0.231,0.826,121.989,162295,4,techhouse,Tech House Music 2020
0.616,0.91,5,-6.445,1,0.0481,0.00445,0.769,0.0533,0.452,122.964,160976,4,techhouse,Dirtybird//Techhouse by Mack\
0.793,0.568,11,-8.373,0,0.049,0.152,0.877,0.12,0.145,121.997,265808,4,techhouse,Dirtybird Players
0.84,0.695,2,-6.59,1,0.0436,0.000203,0.806,0.0403,0.365,124.993,388440,4,techhouse,Dirtybird Players
0.774,0.796,8,-5.682,0,0.0477,0.00136,0.886,0.0614,0.579,125.019,249600,4,techhouse,Dirtybird Players
0.793,0.98,1,-4.599,0,0.0706,0.000846,0.712,0.0787,0.924,126.006,367619,4,techhouse,Tech House Essentials by Distortion
0.735,0.853,0,-6.342,1,0.0748,0.000719,0.393,0.158,0.489,124.976,232320,4,techhouse,Dirtybird House
0.8,0.531,11,-6.045,1,0.0706,0.000167,0.7,0.113,0.345,126.007,321905,4,techhouse,Dirtybird Players
0.727,0.726,1,-8.661,1,0.0598,0.00262,0.221,0.0864,0.432,126.007,251066,4,techhouse,Tech house
0.764,0.886,11,-5.692,0,0.0466,0.000221,0.428,0.114,0.695,126.015,266667,4,techhouse,Dirtybird//Techhouse by Mack\
0.816,0.97,2,-5.229,1,0.128,0.00107,0.832,0.32,0.893,127.007,261463,4,techhouse,Tech House Music 2020
0.803,0.88,11,-7.839,0,0.0843,0.000453,0.79,0.0442,0.674,125.99,352750,4,techhouse,Dirtybird//Techhouse by Mack\
0.805,0.84,10,-8.279,0,0.044,0.00022,0.868,0.073,0.421,125.002,591396,4,techhouse,blanc | Tech House
0.726,0.834,2,-8.05,0,0.173,0.0206,0.26,0.397,0.825,123.049,206829,4,techhouse,Tech House Top 50
0.764,0.894,10,-6.055,0,0.0634,0.00271,0.689,0.056,0.644,123.997,217137,4,techhouse,Dirtybird Players
0.744,0.787,7,-8.871,1,0.0735,5.35E-05,0.0956,0.19,0.414,124.032,210968,4,techhouse,Dirtybird//Techhouse by Mack\
0.88,0.533,11,-6.855,0,0.0956,0.0572,0.761,0.0905,0.204,124.022,360125,4,techhouse,Dirtybird//Techhouse by Mack\
0.747,0.998,5,-5.934,1,0.0516,0.0207,0.705,0.058,0.724,125.989,192381,4,techhouse,Tech House Movement
0.805,0.655,7,-7.797,0,0.0564,0.000194,0.725,0.0718,0.607,122.026,331554,4,techhouse,Dirtybird House
0.718,0.747,11,-4.932,0,0.0409,0.0464,0.641,0.0772,0.325,125.982,413333,4,techhouse,tech house
0.749,0.86,8,-5.532,1,0.35,0.00544,0.0654,0.441,0.408,124.017,236118,4,techhouse,Toolroom Tech House
0.832,0.953,6,-7.16,1,0.0657,0.0164,0.866,0.155,0.824,123.985,213871,4,techhouse,tech house
0.642,0.845,1,-6.894,0,0.0341,0.124,0.000125,0.0752,0.471,123.975,168856,4,techhouse,Tech House Music 2020
0.668,0.975,10,-6.224,1,0.0447,0.0219,0.0103,0.298,0.638,124.016,156774,4,techhouse,Tech House 2020
0.812,0.972,0,-8.681,1,0.0538,0.00173,0.928,0.0628,0.625,125.009,379500,4,techhouse,tech house
0.747,0.998,5,-5.934,1,0.0516,0.0207,0.705,0.058,0.724,125.989,192381,4,techhouse,Dirtybird//Techhouse by Mack\
0.721,0.769,7,-6.949,1,0.0379,0.000953,0.073,0.249,0.194,127.971,174375,4,techhouse,Tech House 2020
0.851,0.866,6,-5.078,1,0.0532,0.00356,0.415,0.111,0.609,125.994,188089,4,techhouse,BOILER ROOM TECHNO HOUSE
0.787,0.992,9,-6.259,1,0.0765,0.00128,0.683,0.233,0.366,125.028,222720,4,techhouse,Dirtybird Players
0.685,0.817,1,-6.099,1,0.0429,0.0295,0.426,0.0519,0.312,128.022,307572,4,techhouse,Tech House Pizza
0.76,0.964,2,-5.844,1,0.0576,0.00182,0.7,0.0974,0.641,125,248036,4,techhouse,Dirtybird Players
0.807,0.986,4,-8.391,0,0.0719,0.000128,0.921,0.11,0.799,127.002,410079,4,techhouse,Beatoirt Best New Tech House
0.733,0.759,10,-7.745,0,0.0542,0.000368,0.819,0.0804,0.156,124.038,158710,4,techhouse,Tech House Club
0.798,0.924,7,-6.504,1,0.0568,0.00226,0.189,0.0633,0.536,125.01,201738,4,techhouse,Tech House by DOT Dance
0.808,0.978,2,-7.692,1,0.067,0.000143,0.923,0.0301,0.366,124.995,372480,4,techhouse,Tech House Essentials by Distortion
0.801,0.992,0,-4.912,1,0.0761,0.000259,0.892,0.0671,0.358,125,407040,4,techhouse,Dirtybird Players
0.806,0.97,7,-7.323,1,0.101,0.00827,0.497,0.0567,0.387,123.014,304390,4,techhouse,Dirtybird//Techhouse by Mack\
0.709,0.747,2,-9.52,1,0.0564,0.178,0.431,0.0958,0.478,120.015,364000,4,techhouse,Tech House by DOT Dance
0.983,0.846,1,-5.214,1,0.184,0.0202,0.00813,0.0514,0.815,124.989,232320,4,techhouse,Dirtybird Players
0.891,0.525,1,-6.263,1,0.061,0.000492,0.17,0.112,0.496,128.041,378750,4,techhouse,Dirtybird//Techhouse by Mack\
0.805,0.852,6,-9.832,0,0.126,0.00242,0.826,0.0393,0.285,124.98,432065,4,techhouse,Beatoirt Best New Tech House
0.743,0.897,2,-6.453,0,0.0392,0.000212,0.682,0.252,0.962,124.986,161689,4,techhouse,Tech House Music 2020
0.811,0.603,6,-9.172,0,0.0655,0.000724,0.876,0.0577,0.761,124.009,344516,4,techhouse,Dirtybird//Techhouse by Mack\
0.711,0.932,0,-6.665,1,0.0622,0.00323,0.897,0.634,0.699,124.006,259504,4,techhouse,Dirtybird//Techhouse by Mack\
0.951,0.454,11,-6.482,1,0.163,0.00199,0.0594,0.0602,0.614,123.996,317419,4,techhouse,Dirtybird//Techhouse by Mack\
0.737,0.949,11,-6.213,0,0.238,0.0352,7.97E-05,0.0298,0.719,129.023,143256,4,techhouse,Tech House Rotation 2020
0.879,0.882,8,-8.722,1,0.0752,0.00111,0.489,0.0762,0.969,126.008,365791,4,techhouse,Dirtybird Players
0.813,0.789,8,-7.066,0,0.263,0.0278,0.348,0.344,0.585,123.997,157258,4,techhouse,Tech House 2020 - Best of Techno
0.804,0.624,10,-9.653,0,0.0636,2.95E-05,0.866,0.123,0.408,126.015,441905,4,techhouse,Beatoirt Best New Tech House
0.753,0.748,4,-6.489,0,0.0993,0.00108,0.659,0.101,0.531,123.998,247742,4,techhouse,Tech House by DOT Dance
0.816,0.854,11,-5.523,1,0.051,0.000442,0.653,0.0608,0.3,124.026,263226,4,techhouse,Dirtybird//Techhouse by Mack\
0.836,0.718,1,-6.038,1,0.0528,0.00301,0.0126,0.0775,0.302,123.981,251500,4,techhouse,Dirtybird Players
0.866,0.931,8,-4.475,0,0.0748,0.00252,0.207,0.11,0.935,123.982,193548,4,techhouse,Tech House by DOT Dance
0.828,0.924,0,-6.187,1,0.0641,0.0673,0.921,0.0961,0.108,130.996,239084,4,techhouse,tech house
0.803,0.994,5,-8.286,0,0.0597,0.00227,0.917,0.622,0.651,124.998,376320,4,techhouse,Tech House Pizza
0.793,0.902,0,-5.553,1,0.131,0.0249,0.923,0.048,0.702,130.008,503304,4,techhouse,Tech House 2020
0.861,0.872,0,-7.812,1,0.141,0.00014,0.747,0.0674,0.638,126.012,343750,4,techhouse,Tech House Essentials by Distortion
0.736,0.878,7,-7.89,1,0.0768,0.000611,0.53,0.241,0.576,126.996,184930,4,techhouse,Dirtybird Players
0.806,0.524,1,-8.516,0,0.0719,0.037,0.854,0.0629,0.564,125.004,292724,4,techhouse,Tech House Movement
0.782,0.95,4,-5.465,0,0.094,0.0061,0.0906,0.16,0.264,124.993,177445,4,techhouse,tech house
0.832,0.778,11,-8.718,0,0.173,0.000847,0.669,0.221,0.491,122.064,192787,4,techhouse,Tech House 2020 - Best of Techno
0.812,0.863,9,-9.136,0,0.0609,0.00771,0.896,0.0743,0.668,124.996,393605,4,techhouse,Tech House Essentials by Distortion
0.784,0.924,0,-7.488,0,0.0475,0.00826,0.0205,0.0686,0.803,123.988,238027,4,techhouse,Tech House 2020
0.777,0.883,7,-8.377,1,0.0833,0.0391,0.588,0.126,0.267,126.987,181417,4,techhouse,Dirtybird//Techhouse by Mack\
0.81,0.802,11,-7.723,0,0.0735,0.0184,0.846,0.109,0.166,123.005,423259,4,techhouse,Dirtybird Players
0.847,0.849,4,-6.802,0,0.0419,5.07E-05,0.777,0.0578,0.546,124.961,218880,4,techhouse,tech house
0.808,0.915,0,-5.342,1,0.0461,0.000252,0.769,0.0806,0.661,124.008,222720,4,techhouse,Tech House Bangerz
0.883,0.583,1,-14.171,0,0.139,0.0052,0.903,0.159,0.64,126,426667,4,techhouse,Tech House Pizza
0.783,0.81,10,-4.041,0,0.0794,0.0226,0.257,0.119,0.38,124.028,305817,4,techhouse,tech house
0.803,0.978,0,-7.678,1,0.0705,0.0278,0.338,0.126,0.659,124.99,268800,4,techhouse,Dirtybird//Techhouse by Mack\
0.901,0.977,1,-6.27,1,0.0717,0.000629,0.00962,0.117,0.395,125.011,399720,4,techhouse,Tech House Rotation 2020
0.805,0.938,9,-5.437,0,0.0481,0.000125,0.905,0.089,0.933,124.004,375000,4,techhouse,Tech House 2020
0.906,0.925,2,-5.262,1,0.109,0.00238,0.0146,0.727,0.715,124.014,154839,4,techhouse,Dirtybird Players
0.813,0.993,9,-7.699,1,0.0575,0.000419,0.964,0.0366,0.604,125.007,369180,4,techhouse,tech house
0.803,0.902,6,-8.804,1,0.0891,0.00588,0.834,0.0526,0.449,123.999,297516,4,techhouse,Dirtybird Players
0.807,0.859,6,-5.767,0,0.0583,0.0124,0.912,0.115,0.528,123.994,344032,4,techhouse,tech house
0.73,0.634,2,-8.1,1,0.0389,0.00524,0.000118,0.18,0.52,121.025,200361,4,techhouse,tech house
0.806,0.48,8,-12.602,0,0.0947,0.000345,0.827,0.102,0.478,125.008,447002,4,techhouse,Tech House 2020
0.749,0.904,1,-5.184,0,0.0554,0.00546,0.545,0.0683,0.664,125.005,207460,4,techhouse,BOILER ROOM TECHNO HOUSE
0.822,0.675,9,-7.673,1,0.0638,0.0035,0.639,0.0818,0.219,125.005,400004,4,techhouse,Dirtybird House
0.807,0.882,1,-7.112,1,0.0602,0.000652,0.904,0.0464,0.688,125.008,339840,4,techhouse,Dirtybird//Techhouse by Mack\
0.803,0.894,1,-10.198,1,0.0421,0.012,0.787,0.187,0.428,124.003,375484,4,techhouse,Tech House Elrow Secrets
